world,tag,band,greedy,nohedge,bound,pas,churn,breaches
HMM,202008,0.15,7.68,1.36,637.15,True,156.2,0
HMM,202009,0.15,17.88,89.72,605.54,True,168.8,0
HMM,202010,0.15,19.6,210.46,625.76,True,50.0,0
HMM,202011,0.15,46.39,352.15,685.55,True,137.5,0
HMM,202012,0.15,28.49,213.82,708.43,True,81.2,0
HMM,202101,0.15,13.9,142.05,758.24,True,450.0,0
HMM,202102,0.15,69.8,123.87,765.09,True,137.5,0
HMM,202103,0.15,18.68,-73.18,751.02,True,62.5,0
HMM,202104,0.15,49.95,-84.43,765.31,True,368.8,0
HMM,202105,0.15,4.65,-198.15,768.28,True,68.8,0
HMM,202106,0.15,23.9,-196.08,808.98,True,81.2,0
HMM,202107,0.15,15.57,-35.61,691.04,True,425.0,0
HMM,202108,0.15,26.19,-5.65,730.94,True,137.5,0
HMM,202109,0.15,9.11,-54.74,631.75,True,150.0,0
HMM,202110,0.15,27.54,34.96,605.85,True,256.2,0
HMM,202111,0.15,-1.59,37.89,607.29,True,212.5,0
HMM,202112,0.15,28.12,108.13,649.35,True,400.0,0
HMM,202201,0.15,2.31,14.59,657.46,True,237.5,0
HMM,202202,0.15,12.45,-53.3,671.06,True,137.5,0
HMM,202203,0.15,5.91,-99.72,764.6,True,531.2,0
HMM,202204,0.15,-7.68,-115.68,647.84,True,581.2,0
HMM,202205,0.15,41.62,-0.87,687.6,True,168.8,0
HMM,202206,0.15,30.88,-74.35,661.69,True,606.2,0
HMM,202207,0.15,-61.53,10.84,619.8,True,500.0,0
HMM,202208,0.15,-8.23,99.31,636.88,True,193.8,0
HMM,202209,0.15,-40.11,167.5,608.84,True,175.0,0
HMM,202210,0.15,62.29,207.83,675.46,True,325.0,0
HMM,202211,0.15,92.19,43.84,654.87,True,343.8,0
HMM,202212,0.15,8.78,-59.89,678.57,True,412.5,0
HMM,202301,0.15,42.8,24.47,607.03,True,331.2,0
HMM,202302,0.15,4.94,61.45,625.74,True,468.8,0
HMM,202303,0.15,25.19,12.24,594.21,True,137.5,0
HMM,202304,0.15,5.83,-41.09,580.73,True,325.0,0
HMM,202305,0.15,21.45,-141.85,590.67,True,425.0,0
HMM,202306,0.15,14.81,-80.88,559.36,True,325.0,0
HMM,202307,0.15,-1.53,-10.19,456.39,True,325.0,0
HMM,202308,0.15,27.34,-28.36,535.92,True,331.2,0
HMM,202309,0.15,-13.26,-32.55,548.63,True,325.0,0
HMM,202310,0.15,3.69,21.05,516.71,True,325.0,0
HMM,202311,0.15,1.17,-30.98,568.83,True,137.5,0
HMM,202312,0.15,3.49,-24.23,526.54,True,337.5,0
HMM,202001,0.3,-46.33,-194.35,810.1,True,112.5,0
HMM,202002,0.3,-59.73,-172.13,892.94,True,175.0,0
HMM,202003,0.3,-52.02,-49.94,845.94,True,137.5,0
HMM,202004,0.3,-18.19,135.4,628.43,True,212.5,0
HMM,202005,0.3,104.91,169.58,746.71,True,112.5,0
HMM,202006,0.3,91.73,87.3,751.38,True,50.0,0
HMM,202007,0.3,29.19,62.96,699.5,True,250.0,0
HMM,202008,0.3,-17.63,1.36,637.15,True,168.8,0
HMM,202009,0.3,20.3,89.72,605.54,True,200.0,0
HMM,202010,0.3,15.09,210.46,625.76,True,50.0,0
HMM,202011,0.3,56.52,352.15,685.55,True,162.5,0
HMM,202012,0.3,8.99,213.82,708.43,True,137.5,0
HMM,202101,0.3,20.37,142.05,758.24,True,450.0,0
HMM,202102,0.3,104.96,123.87,765.09,True,125.0,0
HMM,202103,0.3,28.32,-73.18,751.02,True,87.5,0
HMM,202104,0.3,54.71,-84.43,765.31,True,387.5,0
HMM,202105,0.3,-1.26,-198.15,768.28,True,75.0,0
HMM,202106,0.3,10.47,-196.08,808.98,True,87.5,0
HMM,202107,0.3,1.38,-35.61,691.04,True,400.0,0
HMM,202108,0.3,41.62,-5.65,730.94,True,137.5,0
HMM,202109,0.3,5.27,-54.74,631.75,True,168.8,0
HMM,202110,0.3,11.67,34.96,605.85,True,262.5,0
HMM,202111,0.3,-8.13,37.89,607.29,True,212.5,0
HMM,202112,0.3,73.2,108.13,649.35,True,387.5,0
HMM,202201,0.3,14.42,14.59,657.46,True,225.0,0
HMM,202202,0.3,2.58,-53.3,671.06,True,137.5,0
HMM,202203,0.3,14.09,-99.72,764.6,True,525.0,0
HMM,202204,0.3,-20.13,-115.68,647.84,True,537.5,0
HMM,202205,0.3,53.05,-0.87,687.6,True,175.0,0
HMM,202206,0.3,5.97,-74.35,661.69,True,587.5,0
HMM,202207,0.3,-63.91,10.84,619.8,True,500.0,0
HMM,202208,0.3,18.81,99.31,636.88,True,187.5,0
HMM,202209,0.3,-36.3,167.5,608.84,True,200.0,0
