param_set,h_state,n,z,barrier_logret,barrier,p_surv_true,p_surv_bridge,p_surv_varmatch,p_surv_edgeworth,p_surv_mc,mc_se,p_ko_true,p_ko_bridge,p_ko_varmatch,p_ko_edgeworth,abs_err_bridge,rel_err_bridge,rel_err_varmatch,rel_err_edgeworth,mc_z
A_equity_psi095,neutral,63,0.5,0.052500000000000005,UP,0.6772585456386793,0.6914624612740131,0.6905363425112704,0.6771377550815135,0.67727865,0.00010454001415314424,0.32274145436132073,0.3085375387259869,0.3094636574887296,0.3228622449184865,-0.014203915635333852,-0.044010199010357236,-0.04114066133483474,0.000374264153344585,-0.19231259421167468
A_equity_psi095,neutral,63,1.0,0.10250000000000001,UP,0.8418537007265872,0.8413447460685429,0.8400692137393933,0.8416375271172508,0.8418204499999999,8.159619679241698e-05,0.15814629927341284,0.15865525393145707,0.15993078626060675,0.15836247288274918,0.0005089546580442361,0.0032182520892526526,0.011283773287092753,0.0013669217068596174,0.40750338734304353
A_equity_psi095,neutral,63,1.5,0.15250000000000002,UP,0.9425026039383897,0.9331927987311419,0.9321653141970236,0.9424750735642752,0.94249705,5.2055913905682064e-05,0.057497396061610306,0.06680720126885809,0.06783468580297636,0.05752492643572482,0.009309805207247779,0.16191698833234158,0.17978709384142047,0.0004788107984058147,0.10669178529473558
A_equity_psi095,neutral,63,2.0,0.2025,UP,0.9855502048236051,0.9772498680518208,0.9766761398056645,0.9858645838230682,0.98552045,2.6711320956938993e-05,0.014449795176394886,0.02275013194817921,0.02332386019433552,0.014135416176931814,0.008300336771784322,0.5744259119564346,0.6141308516564487,-0.021756640535406335,1.1139405517641339
A_equity_psi095,neutral,63,2.5,0.2525,UP,0.9976773906456986,0.9937903346742238,0.9935561218361815,0.9979583757273197,0.9976645999999999,1.0793391550706619e-05,0.002322609354301397,0.006209665325776159,0.006443878163818528,0.002041624272680287,0.003887055971474762,1.6735728564409942,1.7744132485666069,-0.12097819252330784,1.1850441669434386
A_equity_psi095,neutral,63,3.0,0.30250000000000005,UP,0.9997803244532006,0.9986501019683699,0.9985785219175018,0.9997867594424639,0.9997779,3.3320465384845245e-06,0.0002196755467993583,0.0013498980316301035,0.001421478082498151,0.0002132405575361318,0.0011302224848307452,5.144962656508324,5.470807075293021,-0.029293152364855274,0.7276168482770458
A_equity_psi095,stressed,5,-3.0,-0.11680653492358825,DOWN,0.002180165917430865,0.0013498980316300957,0.0013597650420077417,0.0021837645528153785,0.00217695,1.042163854033532e-05,0.002180165917430865,0.0013498980316300957,0.0013597650420077417,0.0021837645528153785,-0.0008302678858007695,-0.3808278439556415,-0.37630203686052216,0.0016506245491416385,0.308580787792486
A_equity_psi095,stressed,5,-2.5,-0.0973655566327521,DOWN,0.00814066813985026,0.006209665325776139,0.006242152897597935,0.008166060232345871,0.00814045,2.0092515369543296e-05,0.00814066813985026,0.006209665325776139,0.006242152897597935,0.008166060232345871,-0.0019310028140741209,-0.23720446293854694,-0.23321368831615905,0.0031191656580755803,0.010856771601143206
A_equity_psi095,stressed,5,-2.0,-0.07792457834191598,DOWN,0.025888895780112775,0.02275013194817922,0.022830120347782968,0.025919565462788365,0.025920199999999997,3.553051118009507e-05,0.025888895780112775,0.02275013194817922,0.022830120347782968,0.025919565462788365,-0.003138763831933556,-0.12123977239479942,-0.11815009254583521,0.0011846655390822002,-0.8810517734616676
A_equity_psi095,stressed,5,-1.5,-0.05848360005107984,DOWN,0.06971037862307283,0.06680720126885809,0.06695101979256018,0.06971060111569166,0.06979679999999999,5.6975964211244596e-05,0.06971037862307283,0.06680720126885809,0.06695101979256018,0.06971060111569166,-0.0029031773542147477,-0.041646271495846536,-0.039583185244662436,3.1916713583182815e-06,-1.5168041142181057
